Date,Rain Assam,Rain,Population,Flood,Temp
01-01-1926,23.4,38.1,334011077,0,17.236
02-01-1926,23.2,40.8,334011077,0,20.375
03-01-1926,156.9,179.1,334011077,0,23.152
04-01-1926,140.8,249.7,334011077,0,25.739
05-01-1926,253.9,248.1,334011077,0,29.002
06-01-1926,559.3,675.2,334011077,1,30.733
07-01-1926,576.5,978.7,334011077,1,27.488
08-01-1926,354.7,445.6,334011077,1,26.283
09-01-1926,189.2,286.9,334011077,1,25.774
10-01-1926,193.7,311.5,334011077,0,24.051
11-01-1926,6.4,18.6,334011077,0,19.354
12-01-1926,33.6,49.3,334011077,0,16.981
01-01-1927,33.8,48.3,337233829,0,16.709
02-01-1927,60.5,208.5,337233829,0,18.748
03-01-1927,66,88.1,337233829,0,22.994
04-01-1927,265.2,384,337233829,0,27.446
05-01-1927,238.4,164,337233829,0,29.554
06-01-1927,573.9,1045.4,337233829,1,29.232
07-01-1927,447.7,923.2,337233829,1,26.751
08-01-1927,366.4,727.8,337233829,1,26.021
09-01-1927,549.8,1108.9,337233829,1,26.04
10-01-1927,161.2,537.2,337233829,0,24.349
11-01-1927,29.8,17.8,337233829,0,19.79
12-01-1927,0.2,0,337233829,0,17.651
01-01-1928,8.3,48.9,340487677,0,17.08
02-01-1928,21.1,39.7,340487677,0,19.567
03-01-1928,61,118.2,340487677,0,23.99
04-01-1928,138.9,123.4,340487677,0,27.495
05-01-1928,446.5,431.9,340487677,0,30.574
06-01-1928,420.6,1168.3,340487677,1,28.795
07-01-1928,428.1,993.6,340487677,1,26.84
08-01-1928,448.2,981.2,340487677,1,26.582
09-01-1928,343.5,706.1,340487677,1,26.261
10-01-1928,294.8,633.5,340487677,0,24.568
11-01-1928,21.6,25.6,340487677,0,20.817
12-01-1928,1.5,2.3,340487677,0,17.099
01-01-1929,83.9,144.8,344079020,0,16.866
02-01-1929,3.8,59.2,344079020,0,18.597
03-01-1929,84.1,124.3,344079020,0,24.69
04-01-1929,321.7,492.3,344079020,0,27.63
05-01-1929,570.2,615.8,344079020,0,30.574
06-01-1929,643.4,853,344079020,1,28.918
07-01-1929,385,614.4,344079020,1,26.718
08-01-1929,333.2,670,344079020,1,25.954
09-01-1929,292.8,384.3,344079020,1,26.319
10-01-1929,196,188,344079020,0,23.971
11-01-1929,17.6,64.5,344079020,0,20.717
12-01-1929,22.1,109.5,344079020,0,16.703
01-01-1930,18,64.4,348015421,0,16.528
02-01-1930,41,84.3,348015421,0,18.831
03-01-1930,99.8,202.5,348015421,0,24.028
04-01-1930,199.4,565.4,348015421,0,27.002
05-01-1930,209.8,148.9,348015421,0,29.751
06-01-1930,686.9,720.9,348015421,1,28.955
07-01-1930,287.8,376.2,348015421,1,26.566
08-01-1930,438.5,1055.5,348015421,1,26.156
09-01-1930,299.1,637,348015421,1,26.296
